"","id","action_id","action","held","target","yield","points","token","condition"
"1",209,1,"combine","circle_plain_0","circle_checkered_0","",0,"7W9953DG","low-2"
"2",209,2,"combine","circle_plain_0","triangle_plain_0","",0,"7W9953DG","low-2"
"3",209,3,"combine","circle_plain_0","diamond_checkered_0","",0,"7W9953DG","low-2"
"4",209,4,"combine","circle_plain_0","square_stripes_0","",0,"7W9953DG","low-2"
"5",209,5,"combine","circle_plain_0","circle_stripes_0","",0,"7W9953DG","low-2"
"6",209,6,"combine","circle_plain_0","circle_dots_0","",0,"7W9953DG","low-2"
"7",209,7,"combine","circle_plain_0","circle_stripes_0","",0,"7W9953DG","low-2"
"8",209,8,"combine","circle_plain_0","diamond_plain_0","",0,"7W9953DG","low-2"
"9",209,9,"combine","circle_plain_0","triangle_dots_0","circle_dots_1",0,"7W9953DG","low-2"
"10",209,10,"combine","circle_dots_1","diamond_dots_0","",0,"7W9953DG","low-2"
"11",209,11,"combine","circle_dots_1","diamond_dots_0","",0,"7W9953DG","low-2"
"12",209,12,"combine","circle_dots_1","triangle_stripes_0","",0,"7W9953DG","low-2"
"13",209,13,"combine","circle_dots_1","circle_dots_0","",0,"7W9953DG","low-2"
"14",209,14,"combine","circle_dots_1","diamond_dots_0","",0,"7W9953DG","low-2"
"15",209,15,"consume","circle_dots_1","","",10,"7W9953DG","low-2"
"16",209,16,"consume","triangle_plain_0","","",1,"7W9953DG","low-2"
"17",209,17,"combine","triangle_dots_0","diamond_checkered_0","",0,"7W9953DG","low-2"
"18",209,18,"combine","triangle_dots_0","square_stripes_0","",0,"7W9953DG","low-2"
"19",209,19,"consume","triangle_dots_0","","",1,"7W9953DG","low-2"
"20",209,20,"consume","circle_plain_0","","",1,"7W9953DG","low-2"
"21",209,21,"combine","circle_checkered_0","square_checkered_0","",0,"7W9953DG","low-2"
"22",209,22,"combine","circle_checkered_0","triangle_stripes_0","circle_stripes_1",0,"7W9953DG","low-2"
"23",209,23,"consume","circle_stripes_1","","",10,"7W9953DG","low-2"
"24",209,24,"consume","diamond_dots_0","","",1,"7W9953DG","low-2"
"25",209,25,"combine","square_checkered_0","circle_stripes_0","square_stripes_1",0,"7W9953DG","low-2"
