id,action_id,action,held,target,yield,points,token,assignment
2,1,combine,diamond_stripes_0,diamond_dots_0,,0,5TPFUNNT,hard
2,2,combine,diamond_stripes_0,triangle_stripes_0,diamond_stripes_1,0,5TPFUNNT,hard
2,3,combine,diamond_stripes_1,square_stripes_0,,0,5TPFUNNT,hard
2,4,combine,diamond_stripes_1,square_checkered_0,,0,5TPFUNNT,hard
2,5,combine,diamond_stripes_1,square_stripes_0,,0,5TPFUNNT,hard
2,6,combine,diamond_stripes_1,triangle_stripes_0,diamond_stripes_2,0,5TPFUNNT,hard
2,7,combine,diamond_stripes_2,circle_plain_0,,0,5TPFUNNT,hard
2,8,combine,diamond_stripes_2,square_plain_0,,0,5TPFUNNT,hard
2,9,combine,diamond_stripes_2,diamond_checkered_0,,0,5TPFUNNT,hard
2,10,combine,diamond_stripes_2,circle_checkered_0,,0,5TPFUNNT,hard
2,11,combine,diamond_stripes_2,square_checkered_0,,0,5TPFUNNT,hard
2,12,combine,diamond_stripes_2,square_stripes_0,,0,5TPFUNNT,hard
2,13,combine,diamond_stripes_2,circle_dots_0,,0,5TPFUNNT,hard
2,14,consume,diamond_stripes_2,,,100,5TPFUNNT,hard
2,15,combine,triangle_dots_0,diamond_plain_0,triangle_plain_1,0,5TPFUNNT,hard
2,16,combine,triangle_plain_1,circle_dots_0,,0,5TPFUNNT,hard
2,17,combine,triangle_plain_1,square_dots_0,,0,5TPFUNNT,hard
2,18,combine,triangle_plain_1,diamond_stripes_0,,0,5TPFUNNT,hard
2,19,combine,triangle_plain_1,triangle_plain_0,,0,5TPFUNNT,hard
2,20,combine,triangle_plain_1,square_plain_0,,0,5TPFUNNT,hard
2,21,combine,triangle_plain_1,diamond_checkered_0,,0,5TPFUNNT,hard
2,22,consume,triangle_plain_1,,,10,5TPFUNNT,hard
2,23,combine,diamond_checkered_0,circle_checkered_0,,0,5TPFUNNT,hard
2,24,combine,diamond_checkered_0,triangle_checkered_0,diamond_checkered_1,0,5TPFUNNT,hard
2,25,consume,diamond_checkered_1,,,10,5TPFUNNT,hard
2,26,consume,diamond_dots_0,,,1,5TPFUNNT,hard
2,27,consume,circle_stripes_0,,,1,5TPFUNNT,hard
2,28,combine,diamond_checkered_0,circle_checkered_0,,0,5TPFUNNT,hard
